# kind board t x y r search_type combo b2b under_attack clear value t2_value t3_value death out_combo out_b2b out_under_attack out_map_rise out_acc_value out_like out_value
eval 2 S 4 18 0 0 1 1 2 0 -6129.188387394 27 0 0 0 0 0 0 0 0 0
get 2 S 4 18 0 0 1 1 2 0 -6129.188387394 27 0 1 0 1 0 2 -999999999.000000 90120.683388 -136051953.057258
eval 2 S 5 16 0 0 2 1 2 0 -5389.290642973 20 0 0 0 0 0 0 0 0 0
get 2 S 5 16 0 0 2 1 2 0 -5389.290642973 20 0 0 0 1 0 2 0.000000 -13184.985145 759565514.556069
eval 2 Z 0 18 0 0 3 1 2 0 -5970.249061762 20 0 0 0 0 0 0 0 0 0
get 2 Z 0 18 0 0 3 1 2 0 -5970.249061762 20 0 0 0 1 0 2 0.000000 -13184.985145 841444253.263618
eval 2 Z 1 18 0 0 4 1 2 0 -6014.463227629 20 0 0 0 0 0 0 0 0 0
get 2 Z 1 18 0 0 4 1 2 0 -6014.463227629 20 0 0 0 1 0 2 0.000000 0.000000 847688865.519827
eval 2 Z 2 18 0 0 0 0 2 0 -6038.234704151 27 0 0 0 0 0 0 0 0 0
get 2 Z 2 18 0 0 0 0 2 0 -6038.234704151 27 0 1 0 0 0 2 -999999999.000000 90120.683388 -148870723.943247
eval 2 Z 3 18 0 0 1 0 2 0 -6098.688163333 27 0 0 0 0 0 0 0 0 0
get 2 Z 3 18 0 0 1 0 2 0 -6098.688163333 27 0 1 0 0 0 2 -999999999.000000 90120.683388 -140350573.742741
eval 2 Z 4 17 0 0 2 0 2 0 -5697.609605259 20 0 0 0 0 0 0 0 0 0
get 2 Z 4 17 0 0 2 0 2 0 -5697.609605259 20 0 0 0 0 0 2 0.000000 0.000000 803032356.352351
eval 2 Z 5 17 0 0 3 0 2 0 -5753.370171480 20 0 0 0 0 0 0 0 0 0
get 2 Z 5 17 0 0 3 0 2 0 -5753.370171480 20 0 0 0 0 0 2 0.000000 0.000000 810891102.665574
eval 2 L 0 18 0 0 4 0 2 0 -5796.448010429 20 0 0 0 0 0 0 0 0 0
get 2 L 0 18 0 0 4 0 2 0 -5796.448010429 20 0 0 0 0 0 2 0.000000 -13184.985145 816949194.049474
